OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
109420.0,7.199999809,6.918605799,7.957480066,49.81396175,0.0,17.0,0.0,47.0,331.2215271,0.621405303
55432.0,34.14899826,347.3910853,488.996897,11863.05817,1.0,89.0,0.0,0.0,291.3600159,0.551749647
77021.0,3.137000084,0.17302545,0.177250466,0.542780837,0.0,0.0,0.0,72.0,320.8777771,0.750026822
88674.0,7.255333424,63.1802315,66.94156031,256.6515433,1.0,54.0,0.0,0.0,310.2825012,0.596716106
95782.0,10.43000031,54.75303906,70.97670391,571.0741974,0.0,51.0,0.0,0.0,310.76651,0.517412543
78020.0,2.394999981,6.475813797,6.475973558,15.50109551,1.0,65.0,0.0,0.0,332.4512634,0.550746977
117399.0,5.828666687,123.6490818,124.8209551,1124.757919,1.0,100.0,0.0,0.0,323.4777832,0.15629673
64903.0,7.887666702,153.290397,160.2360702,1147.776353,0.0,48.0,0.0,0.0,294.9382629,0.505867362
63511.0,25.44499969,14.264788,14.26481971,362.9675306,0.0,34.0,0.0,0.0,321.6982727,0.533081174
36505.0,5.209000111,56.00841025,64.90082075,291.747809,1.0,81.0,0.0,0.0,356.8395386,0.403579742
91097.0,3.323999882,8.871735302,9.412633067,29.61337752,0.0,0.0,1.0,0.0,320.4472656,0.562273324
35227.0,3.200000048,124.0628088,124.07097,670.2192308,1.0,54.0,0.0,0.0,320.6110229,0.629599154
122021.0,8.607999802,23.80206949,24.96367792,204.8882142,1.0,60.0,0.0,0.0,281.5650024,0.350399077
69349.0,16.10000038,31.2707107,41.56911585,503.0824391,1.0,100.0,0.0,0.0,296.1742554,0.289530903
114888.0,10.69999981,20.542983,20.54299704,219.8099181,1.0,72.0,0.0,0.0,320.1600342,0.296250671
54083.0,7.269000053,4.255649349,4.2556669,29.65270804,0.0,10.0,0.0,64.0,373.4790039,0.661874652
15555.0,7.29766655,69.325632,73.94524862,680.4012412,1.0,86.0,0.0,0.0,287.3705139,0.241363555
62210.0,10.10999966,170.4692381,204.9872381,1723.443997,0.0,9.0,0.0,38.0,296.365509,0.724451959
407.0,11.90799999,99.85386225,99.8468837,1276.334585,0.0,22.0,0.0,0.0,329.2762756,0.610732794
24485.0,7.176199913,123.8464462,156.5089556,1003.594517,0.0,20.0,0.0,49.0,313.51651,0.48711434
46598.0,8.451000214,2.089190398,2.461007106,17.65574805,0.0,39.0,0.0,0.0,384.1795044,0.531518638
110289.0,12.98566628,151.9356657,151.9341851,2878.169316,1.0,96.0,0.0,0.0,304.6790161,0.172710299
69441.0,6.890999794,112.1337162,126.9303209,772.7134381,0.0,13.0,0.0,0.0,354.2565308,0.606233418
43476.0,7.092666626,156.53826,156.5382107,1190.0051,1.0,100.0,0.0,0.0,296.1785278,0.08765962
55075.0,15.79300022,0.22197065,0.310462134,3.505582483,1.0,46.0,0.0,0.0,322.6810303,0.540331125
45619.0,8.222499847,75.16555779,82.32323769,618.1889694,1.0,77.0,0.0,0.0,320.7055054,0.633808732
55326.0,15.96966648,399.9980564,417.0989441,6101.868708,1.0,100.0,0.0,0.0,296.26651,0.165486202
3887.0,16.23600006,108.5470043,157.8817166,1762.369163,1.0,79.0,0.0,0.0,300.911499,0.490768552
69262.0,8.857333183,76.97406695,85.60587115,628.9067933,1.0,100.0,0.0,0.0,295.0547485,0.352282166
